Country and areas,Income Group,ISO code,Region,Sub-region,Survey year,Year*,Corr - UW vs Stunt,Corr - UW vs Wast,Corr UW vs SW,Overweight,Rural,Severe wasting,Stunting,Survey sample size (N),Type of Impacts,Under 5 population,Under 5 Stunt,Underweight,Urban,Wasting
ANGOLA,Lower Middle Income,AGO,Africa,Middle Africa,2007,2007,,,,,,4.3,29.2,10224,8.2,4091.763,0.007136288,15.6,,8.2
ANGOLA,Lower Middle Income,AGO,Africa,Middle Africa,2015-16,2016,,,,3.3736427,1.1,1.093515,37.572975,7467.9482,4.9209943,5277.122,0.007119975,19.037704,2.5,4.9209943
ARGENTINA,High Income,ARG,Latin America and the Caribbean,South America,1994,1994,,,,11.1,2.9,,7.1,5296,1.6,3523.021,0.002015316,1.7,6,1.6
ARGENTINA,High Income,ARG,Latin America and the Caribbean,South America,1995-96,1996,,,,13.5,4.9,,16.9,91943,4.2,3514.068,0.004809241,4.7,3.2,4.2
ARGENTINA,High Income,ARG,Latin America and the Caribbean,South America,2004-05,2005,,,,9.9,3.6,0.2,8.2,999999,1.2,3594.876,0.002281024,2.3,2.9,1.2
ARMENIA,Upper Middle Income,ARM,Asia,Western Asia,1998,1998,,,,10.8,,1,15.1,3241,3.3,222.671,0.067813052,2.7,,3.3
ARMENIA,Upper Middle Income,ARM,Asia,Western Asia,2000-01,2000,,,,15.6687,5.6,0.7440387,17.33153,1486.2634,2.5348301,196.554,0.088176939,2.55318,6.6,2.5348301
ARMENIA,Upper Middle Income,ARM,Asia,Western Asia,2005,2005,,,,11.351974,5.5,2.6150239,17.879375,1376.9215,5.3630056,186.628,0.095802211,4.172389,2.3,5.3630056
ARMENIA,Upper Middle Income,ARM,Asia,Western Asia,2010,2010,,,,16.45302,,1.9916948,20.863159,1410.6642,4.1278601,201.083,0.103753967,5.2703428,,4.1278601
ARMENIA,Upper Middle Income,ARM,Asia,Western Asia,2015-16,2016,,,,13.684824,2.5,1.7453525,9.3989458,1608.774,4.4527912,202.199,0.046483641,2.6428034,1.7,4.4527912
AUSTRALIA,High Income,AUS,Oceania,Australia/New Zealand,1995-96,1995,,,,7.9,,,0,1036810,0,1303.522,0,0,,0
AUSTRALIA,High Income,AUS,Oceania,Australia/New Zealand,2007,2007,,,,7.7,,0,2,1007,0,1329.367,0.001504475,0.2,,0
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,1996,1996,,,,6.1,,,28,500,3.8,855.429,0.032732115,8.8,,3.8
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,2000,2000,,,,6.2176166,,4.1450777,24.157623,1787,8.9810009,712.543,0.03390339,14.045887,,8.9810009
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,2001,2001,,,,4.4,,,18,2426,3.2,674.064,0.026703696,5.9,,3.2
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,2006,2006,,,,13.887546,,2.2076709,26.547476,2124.7192,6.7976079,656.861,0.040415668,8.4220362,,6.7976079
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,2011,2011,,,,10.4,7.8,2.9,16.4,2505,6.6,734.926,0.022315172,6.5,8.4,6.6
AZERBAIJAN,Upper Middle Income,AZE,Asia,Western Asia,2013,2013,,,,14.071801,,1.1148032,17.772455,3613422.5,3.1592329,813.868,0.021837024,4.9226069,,3.1592329
BAHRAIN,High Income,BHR,Asia,Western Asia,1989,1989,,,,7.5,,,13.9,2033,6.8,65.456,0.212356392,6.3,,6.8
BAHRAIN,High Income,BHR,Asia,Western Asia,1995,1995,,,,,3,,13.6,673,6.6,61.291,0.221892284,7.6,3.3,6.6
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1985-86,1986,,,,0.2,,,70.9,2675,17.3,15921.293,0.004453156,66.8,,17.3
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1989-90,1990,,,,0.6,,,63.4,1914,17.5,16461.413,0.003851431,61.5,,17.5
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1991,1991,,,,0.3,,2.6,73.6,32493,15.2,16573.079,0.004440937,61.2,,15.2
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1992,1992,,,,0.2,4.4,3,71.5,36997,16.1,16611.504,0.004304246,60.6,4.5,16.1
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1993,1993,,,,0.4,,2.5,69.2,42826,14,16603.45,0.004167808,56.1,,14
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1994,1994,,,,0.2,,3.2,67.3,63753,16.7,16591.037,0.004056407,58,,16.7
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1995,1995,,,,0.2,3.8,2.7,65.8,87051,15.1,16608.371,0.003961858,55.2,3.8,15.1
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1996,1996,,,,0.3,5.1,2.8,63.8,81067,15.5,16641.067,0.003833889,54,5,15.5
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1996-97,1997,,,,2.3404877,2,6.8658791,59.527172,5204.0679,20.723537,16684.087,0.003567901,53.560429,1.9,20.723537
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1998,1998,,,,0.2,,2.3,59.3,49496,15,16734.686,0.003543538,50.7,,15
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1999,1999,,,,0.6,4,2,59.9,49374,13.7,16779.926,0.003569742,49.5,4.8,13.7
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,1999-00,2000,,,,0.9346844,,2.4817402,51.091408,6007.0913,12.471294,16814.042,0.003038615,42.420853,,12.471294
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2001,2001,,,,0.9,5.3,2.3,53.2,63444,12.7,16914.645,0.003145203,43.2,5.5,12.7
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2002,2002,,,,1,0.9,2.1,51.4,53315,12.4,16952.624,0.003031979,41,1.6,12.4
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2003,2003,,,,1,3.8,2.1,47.8,86999,12.5,16933.025,0.002822886,38.9,2.4,12.5
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2004,2004,,,,0.94656748,2.5,3.5149534,50.460213,6253,14.641981,16860.593,0.00299279,42.777607,2.5,14.641981
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2005,2005,,,,1,1,1.9,45.9,74758,11.8,16744.481,0.002741202,37.3,1.5,11.8
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2006,2006,,,,0.8,,1.6,45.1,24302,11.9,16676.261,0.002704443,37.9,,11.9
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2007,2007,,,,1.0949258,3.9,2.9031012,43.189247,5487.6841,17.479008,16502.794,0.002617087,41.286366,3.9,17.479008
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2011,2011,,,,1.8883448,1.3,4.1538968,41.273743,8169.8535,15.684705,15607.968,0.002644402,36.664707,1.2,15.684705
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2012-13,2012,,,,1.5634034,1.3,2.8674531,41.996643,19923.523,10.717517,15467.715,0.002715116,32.608757,1.5,10.717517
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2013,2013,,,,2.6,,4.9,38.7,4029,18.1,15390.254,0.002514578,35.1,,18.1
BANGLADESH,Lower Middle Income,BGD,Asia,Southern Asia,2014,2014,,,,1.5771177,3.3,3.2254689,36.17548,7641.7441,14.380569,15329.075,0.002359926,32.84079,0,14.380569
BARBADOS,High Income,BRB,Latin America and the Caribbean,Caribbean,2012,2012,,,,12.212609,2.5,1.9769702,7.7078252,402.58484,6.770082,17.318,0.445075944,3.4900296,3.4,6.770082
BELARUS,Upper Middle Income,BLR,Europe,Eastern Europe,2005,2005,,,,9.7334719,,0.6458208,4.4575353,3031.1328,2.2065992,448.326,0.009942621,1.2744485,,2.2065992
BELIZE,Upper Middle Income,BLZ,Latin America and the Caribbean,Central America,1992,1992,,,,,,,,8516,,30.405,,5.4,,
BELIZE,Upper Middle Income,BLZ,Latin America and the Caribbean,Central America,2006,2006,,,,13.649591,1.4,0.84900063,22.011385,721.81311,1.877195,37.928,0.580346578,4.9787478,1,1.877195
BELIZE,Upper Middle Income,BLZ,Latin America and the Caribbean,Central America,2011,2011,,,,7.8564363,1.3,1.209293,19.303278,1809.3481,3.2875042,37.53,0.514342606,6.1573234,0.7,3.2875042
BELIZE,Upper Middle Income,BLZ,Latin America and the Caribbean,Central America,2015-16,2015,,,,7.304904,1.1,0.51732665,14.957868,2426.1853,1.7669635,39.454,0.379121711,4.5640726,0.6,1.7669635
BENIN,Low Income,BEN,Africa,Western Africa,1996,1996,,,,2.4,1.1,4.6,39.1,2601,12.3,1107.596,0.03530168,26.2,0.8,12.3
BENIN,Low Income,BEN,Africa,Western Africa,2001,2001,,,,3.0894046,1.4,3.1575263,36.164024,4157.8169,9.0441961,1252.444,0.028874763,19.495695,1.6,9.0441961
BENIN,Low Income,BEN,Africa,Western Africa,2006,2006,,,,11.187105,4.6,3.1497498,43.429573,14176.477,8.5376348,1413.734,0.030719763,19.704967,5.2,8.5376348
BENIN,Low Income,BEN,Africa,Western Africa,2014,2014,,,,1.7176069,1.7,1.7224371,34.043777,12024.847,5.30337,1704.411,0.019973925,18.624628,5.2,5.30337
BENIN,Low Income,BEN,Africa,Western Africa,2017-18,2018,,,,1.9,4.1,1.1,32.2,12832,5,1841.722,0.017483638,16.8,2.1,5
BHUTAN,Lower Middle Income,BTN,Asia,Southern Asia,1986-88,1987,,,,3.5,4.1,,60.9,3273,5.2,86.918,0.700660393,34,3.3,5.2
BHUTAN,Lower Middle Income,BTN,Asia,Southern Asia,1999,1999,,,,3.9,4.5,0.8,47.7,2996,2.5,78.022,0.611366025,14.1,3.9,2.5
BHUTAN,Lower Middle Income,BTN,Asia,Southern Asia,2008,2008,,,,4.4,1.8,1.4,34.9,2162,4.7,73.359,0.475742581,10.4,1.5,4.7
BHUTAN,Lower Middle Income,BTN,Asia,Southern Asia,2010,2010,,,,7.5655022,2.5,2.0457015,33.509102,6071.4102,5.8523545,73.48,0.45603024,12.669842,1.4,5.8523545
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1988,1988,,,,,2.9,,,151481,,1027.01,,9.8,0.6,
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1989,1989,,,,7.4,,0.5,44,2563,1.5,1035.329,0.042498568,7.8,,1.5
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1990,1990,,,,,,,,490699,,1045.257,,9.7,,
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1991,1991,,,,,,,,536952,,1057.088,,10.2,,
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1992,1992,,,,,,,,666872,,1068.007,,10.5,,
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1993-94,1994,,,,6.7,7.3,1.2,37.1,2730,3.6,1089.666,0.03404713,11,4.1,3.6
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,1998,1998,,,,10.693589,6.8,0.74253237,33.192642,5993.3125,1.6459506,1141.989,0.029065641,5.8794389,4.8,1.6459506
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,2003-04,2003,,,,9.1965399,11.3,0.64903677,32.419689,9986.0254,1.7460352,1180.765,0.027456513,5.8495646,7.8,1.7460352
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,2008,2008,,,,8.6537504,14.8,0.48404643,27.132744,8564.4883,1.4085767,1188.421,0.022830919,4.4692554,11,1.4085767
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,2012,2012,,,,,,0.5,18.1,10887,1.6,1189.367,0.015218179,3.6,,1.6
BOLIVIA (PLURINATIONAL STATE OF),Lower Middle Income,BOL,Latin America and the Caribbean,South America,2016,2016,,,,10.149994,6.8,0.89877003,16.091038,5249.8555,1.9678305,1188.513,0.013538798,3.4283652,8.2,1.9678305
BOSNIA AND HERZEGOVINA,Upper Middle Income,BIH,Europe,Southern Europe,2000,2000,,,,16.294556,,3.4860947,12.127083,2598,7.3638859,235.649,0.051462484,4.1955352,,7.3638859
BOSNIA AND HERZEGOVINA,Upper Middle Income,BIH,Europe,Southern Europe,2006,2006,,,,25.636604,,1.4898869,11.812999,3158.4063,4.0312552,165.667,0.071305686,1.6044399,,4.0312552
BOSNIA AND HERZEGOVINA,Upper Middle Income,BIH,Europe,Southern Europe,2011-12,2012,,,,17.35112,,1.5640657,8.8865614,2198.96,2.3481579,179.641,0.049468448,1.5507654,,2.3481579
BOTSWANA,Upper Middle Income,BWA,Africa,Southern Africa,1996,1996,,,,,,,35.1,,13.2,222.23,0.157944472,15.1,,13.2
BOTSWANA,Upper Middle Income,BWA,Africa,Southern Africa,2000,2000,,,,10.120217,,2.7237575,29.148281,177284.73,5.9069171,220.976,0.131906999,11.131549,,5.9069171
BOTSWANA,Upper Middle Income,BWA,Africa,Southern Africa,2007-08,2007,,,,11.2,,3.2,31.4,2623,7.2,221.702,0.141631559,11.2,,7.2
BRAZIL,Upper Middle Income,BRA,Latin America and the Caribbean,South America,1989,1989,,,,,,,19.4,7276,,18121.635,0.001070544,5.3,,
BRAZIL,Upper Middle Income,BRA,Latin America and the Caribbean,South America,1996,1996,,,,6.0454335,,0.97636694,12.980537,4139.251,2.848316,17560.196,0.000739202,4.5404115,,2.848316
BRAZIL,Upper Middle Income,BRA,Latin America and the Caribbean,South America,2002-03,2002,,,,,2.3,,,17107,,17389.623,,3.7,6.5,
BRAZIL,Upper Middle Income,BRA,Latin America and the Caribbean,South America,2006-07,2007,,,,6.4261279,1.9,0.38436699,6.9580221,12754059,1.8278089,15733.44,0.000442244,2.2374809,3.3,1.8278089
BRUNEI DARUSSALAM,High Income,BRN,Asia,South-Eastern Asia,2009,2009,,,,8.3,1.3,0.4,19.7,1126,2.9,31.444,0.626510622,9.6,0.7,2.9
BULGARIA,Upper Middle Income,BGR,Europe,Eastern Europe,2004,2004,,,,13.6,,1.3,8.8,315,3.2,322.054,0.02732461,1.6,,3.2
BURKINA FASO,Low Income,BFA,Africa,Western Africa,1992-93,1993,,,,2.8269219,,5.9122672,38.685841,4557.0913,15.416108,1794.853,0.021553766,28.692848,,15.416108
BURKINA FASO,Low Income,BFA,Africa,Western Africa,1998-99,1999,,,,1.9038301,9,5.587153,41.362133,3940.948,15.590278,2113.626,0.019569277,30.913755,10.8,15.590278
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2003,2003,,,,5.4498949,2.3,9.6995335,43.076305,9290.4268,21.193453,2360.659,0.018247576,35.249317,4.3,21.193453
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2006,2006,,,,6.9841571,2.4,12.072451,39.963909,4320.9111,24.368904,2564.729,0.015582118,35.941307,2.4,24.368904
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2009,2009,,,,,3.5,2.7,35.1,15318,11.3,2773.744,0.012654376,26,5.6,11.3
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2010,2010,,,,2.7770562,3.3,5.9051247,34.714966,7221.9121,15.54337,2842.945,0.012210917,26.225365,3.3,15.54337
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2011,2011,,,,0.73180467,2.2,2.2442493,34.617977,47342.223,10.438599,2920.98,0.011851494,25.103357,1.8,10.438599
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2012,2012,,,,0.56864309,,1.8655349,32.827072,18171.66,10.745454,2986.453,0.010991994,24.286499,,10.745454
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2013,2013,,,,0.8,4,1.6,31.3,15312,8.1,3044.453,0.010280993,20.9,2.8,8.1
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2014,2014,,,,1.1426824,4.3,1.7523985,29.04829,15880.822,8.5691042,3101.095,0.009367107,20.052118,3.1,8.5691042
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2016,2016,,,,1.214018,3.4,1.3874639,26.753191,9683.6602,7.5270562,3220.646,0.008306778,18.890068,1.6,7.5270562
BURKINA FASO,Low Income,BFA,Africa,Western Africa,2017,2017,,,,1.6541632,2.1,1.9665956,21.086735,19503.93,8.6499329,3281.716,0.006425521,16.168177,1.7,8.6499329
BURUNDI,Low Income,BDI,Africa,Eastern Africa,1987,1987,,,,1.3,,1.3,56.2,1956,6.7,1006.087,0.05585998,33.6,,6.7
BURUNDI,Low Income,BDI,Africa,Eastern Africa,2000,2000,,,,1.5168753,,3.8301098,63.958515,2359,9.8976116,1154.396,0.055404311,39.974564,,9.8976116
BURUNDI,Low Income,BDI,Africa,Eastern Africa,2005,2005,,,,,5.6,,57.7,7065,9,1279.331,0.045101698,35.2,6.2,9
BURUNDI,Low Income,BDI,Africa,Eastern Africa,2010-11,2010,,,,2.8846755,6,1.4084808,57.598381,3646.2112,5.9811072,1577.319,0.036516634,29.136473,7,5.9811072
BURUNDI,Low Income,BDI,Africa,Eastern Africa,2016-17,2016,,,,1.3636369,2.1,0.91391653,55.947155,6463.6895,5.093832,1901.345,0.029425041,29.329372,3.2,5.093832
CABO VERDE,Lower Middle Income,CPV,Africa,Western Africa,1985,1985,,,,,,,26.8,9450,4.2,57.03,0.469928108,13.7,,4.2
CABO VERDE,Lower Middle Income,CPV,Africa,Western Africa,1994,1994,,,,,7.2,,21.4,1610,6.9,63.597,0.33649386,11.8,6.1,6.9
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,1996,1996,,,,6.5,5.2,4.5,58.6,5773,13.4,1750.303,0.033479917,42.6,5,13.4
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,2000,2000,,,,4.0037355,8,7.5413322,48.970036,3617.4497,17.088749,1574.657,0.031098859,39.68177,8.1,17.088749
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,2005-06,2005,,,,1.6261535,8.1,1.7577175,42.736877,3695.9849,8.4992771,1531.38,0.027907428,28.262829,6,8.4992771
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,2008,2008,,,,2.0071893,5.2,1.8671361,39.501785,49833504,9.0831308,1620.999,0.02436879,28.280174,5.7,9.0831308
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,2010-11,2010,,,,1.8808742,,2.8487902,39.803608,4087.2192,11.031109,1671.681,0.023810528,28.917482,,11.031109
CAMBODIA,Lower Middle Income,KHM,Asia,South-Eastern Asia,2014,2014,,,,2.2299132,,2.4876709,32.443226,5005.2036,9.8444643,1758.251,0.018451988,24.142153,,9.8444643
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,1991,1991,,,,4.6684408,,1.1023784,31.578714,2421.3074,4.5458632,2239.077,0.014103452,12.940821,,4.5458632
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,1998,1998,,,,8.2,,1.8,38.2,2070,6.2,2520.186,0.015157611,17.3,,6.2
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,2004,2004,,,,8.7011194,,2.2887907,35.601597,3866.98,6.2262735,2899.398,0.012278962,15.103644,,6.2262735
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,2006,2006,,,,10.224339,,2.8837907,37.053471,6076.6104,8.1571617,3081.892,0.012022962,16.537569,,8.1571617
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,2011,2011,,,,6.4423084,,1.9559126,32.584881,6014.4839,5.7157469,3477.564,0.009370031,15.165393,,5.7157469
CAMEROON,Lower Middle Income,CMR,Africa,Middle Africa,2014,2014,,,,6.6997266,,1.312122,31.703356,6775.6377,5.2193956,3679.344,0.008616578,14.765477,,5.2193956
CANADA,High Income,CAN,Northern America,Northern America,2004,2004,,,,10.4,,,,,,1704.406,,,,
CENTRAL AFRICAN REPUBLIC,Low Income,CAF,Africa,Middle Africa,1994-95,1994,,,,3.7,,2.6,41.5,2448,8.7,539.518,0.076920511,24,,8.7
CENTRAL AFRICAN REPUBLIC,Low Income,CAF,Africa,Middle Africa,2000,2000,,,,10.795047,,4.6689014,44.365086,11699.96,10.411315,612.089,0.07248143,21.328644,,10.411315
CENTRAL AFRICAN REPUBLIC,Low Income,CAF,Africa,Middle Africa,2006,2006,,,,8.0737915,1.7,5.2353406,43.149929,7775.0024,12.615806,686.053,0.062895912,26.129093,0.8,12.615806
CENTRAL AFRICAN REPUBLIC,Low Income,CAF,Africa,Middle Africa,2010-11,2010,,,,1.8150213,1,3.0466826,40.735687,10233.216,8.3027782,713.165,0.057119582,24.000656,0.7,8.3027782
CENTRAL AFRICAN REPUBLIC,Low Income,CAF,Africa,Middle Africa,2012,2012,,,,1.9380968,0.6,1.7902172,39.620312,15457.789,7.5712948,724.416,0.054692762,24.589865,0.7,7.5712948
CHAD,Low Income,TCD,Africa,Middle Africa,1996-97,1997,,,,2.7093704,0.3,6.0736289,44.543636,5912.9556,16.519474,1515.242,0.029397044,34.259884,0.3,16.519474
CHAD,Low Income,TCD,Africa,Middle Africa,2000,2000,,,,2.7160752,,4.1614914,38.895561,5191.0132,13.88474,1684.312,0.023092848,29.208046,,13.88474
CHAD,Low Income,TCD,Africa,Middle Africa,2004,2004,,,,4.2485952,,6.5757699,44.354244,4871.4683,16.172321,1947.111,0.022779515,33.833454,,16.172321
CHAD,Low Income,TCD,Africa,Middle Africa,2010,2010,,,,2.7058487,8.6,9.9446888,38.650295,12903.272,19.382547,2293.915,0.016849053,33.014652,12.8,19.382547
CHAD,Low Income,TCD,Africa,Middle Africa,2014-15,2015,,,,2.819186,5.6,4.4047637,39.769051,11253.224,13.303592,2600.644,0.015292001,29.399166,6.9,13.303592
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1986,1986,,,,15.4,4.6,,13.5,196467,0.7,1346.186,0.010028332,2.2,3.9,0.7
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1994,1994,,,,10.1,2.3,,4.2,1181816,0.5,1413.911,0.002970484,0.8,2.7,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1995,1995,,,,10.9,2,,3.9,,0.5,1398.968,0.002787769,0.8,4.6,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1996,1996,,,,10.7,,,3.7,1148353,0.5,1372.742,0.002695335,0.7,,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1998,1998,,,,11.2,,,3.3,1063064,0.6,1343.818,0.00245569,0.7,,0.6
CHILE,High Income,CHL,Latin America and the Caribbean,South America,1999,1999,,,,11.9,2.7,,3.1,1031657,0.5,1333.072,0.002325456,0.7,3.6,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2001,2001,,,,12.9,3.9,,2.8,1002454,0.5,1305.382,0.002144966,0.7,4,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2002,2002,,,,12,,,2.5,1022552,0.5,1290.797,0.001936788,0.7,,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2003,2003,,,,12.1,2.9,,2.5,1022896,0.5,1275.786,0.001959576,0.6,2.2,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2004,2004,,,,12.1,1.8,,2.4,1008335,0.5,1262.786,0.00190056,0.6,1.7,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2006,2006,,,,11.7,,,2.2,973578,0.5,1248.194,0.001762547,0.6,,0.5
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2007,2007,,,,9.8,,,2.1,946528,0.3,1246.249,0.001685057,0.6,,0.3
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2008,2008,,,,9.5,,,2,964033,0.3,1246.285,0.001604769,0.5,,0.3
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2013,2013,,,,10.1,,,1.8,988663,0.3,1220.741,0.001474514,0.5,,0.3
CHILE,High Income,CHL,Latin America and the Caribbean,South America,2014,2014,,,,9.3,7.3,,1.8,839435,0.3,1206.927,0.001491391,0.5,5.7,0.3
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,1987,1987,,,,,6,,38.3,76130,4.8,120606.621,0.000317561,18.7,7.7,4.8
CHINA,Upper Middle Income,CHN,Asia,Eastern Asia,1990,1990,,,,5.3,3.7,1.4,32.3,4332,4.2,133229.699,0.000242438,12.6,3.2,4.2
